Year,Month,QM,ontLevel
2016,1,1,74.63
2016,1,2,74.68
2016,1,3,74.73
2016,1,4,74.77
2016,2,5,74.82
2016,2,6,74.86
2016,2,7,74.90
2016,2,8,74.93
2016,3,9,74.97
2016,3,10,75.01
2016,3,11,75.04
2016,3,12,75.08
2016,4,13,75.11
2016,4,14,75.11
2016,4,15,75.10
2016,4,16,75.10
2016,5,17,75.09
2016,5,18,75.07
2016,5,19,75.06
2016,5,20,75.04
2016,6,21,75.02
2016,6,22,75.00
2016,6,23,74.99
2016,6,24,74.97
2016,7,25,74.95
2016,7,26,74.92
2016,7,27,74.90
2016,7,28,74.87
2016,8,29,74.84
2016,8,30,74.81
2016,8,31,74.77
2016,8,32,74.74
2016,9,33,74.70
2016,9,34,74.66
2016,9,35,74.62
2016,9,36,74.58
2016,10,37,74.54
2016,10,38,74.53
2016,10,39,74.51
2016,10,40,74.50
2016,11,41,74.48
2016,11,42,74.48
2016,11,43,74.47
2016,11,44,74.47
2016,12,45,74.46
2016,12,46,74.51
2016,12,47,74.55
2016,12,48,74.58
2017,1,1,74.62
